"site","plot","event","year","doy","date","genus","species","scrub","varetc","cult"
"harvard",NA,"bbd","1990",132,1990-05-12,"Quercus","alba","0",NA,NA
"harvard",NA,"bbd","1991",129.666666666667,1991-05-09,"Quercus","alba","0",NA,NA
"harvard",NA,"bbd","1992",141.333333333333,1992-05-20,"Quercus","alba","0",NA,NA
"harvard",NA,"bbd","1993",128,1993-05-08,"Quercus","alba","0",NA,NA
"harvard",NA,"bbd","1994",139,1994-05-19,"Quercus","alba","0",NA,NA
"harvard",NA,"bbd","1995",132,1995-05-12,"Quercus","alba","0",NA,NA
"harvard",NA,"bbd","1996",142.333333333333,1996-05-21,"Quercus","alba","0",NA,NA
"harvard",NA,"bbd","1997",137.666666666667,1997-05-17,"Quercus","alba","0",NA,NA
"harvard",NA,"bbd","1998",126.666666666667,1998-05-06,"Quercus","alba","0",NA,NA
"harvard",NA,"bbd","1999",131,1999-05-11,"Quercus","alba","0",NA,NA
"harvard",NA,"bbd","2000",131,2000-05-10,"Quercus","alba","0",NA,NA
"harvard",NA,"bbd","2001",125,2001-05-05,"Quercus","alba","0",NA,NA
"harvard",NA,"bbd","2002",129.333333333333,2002-05-09,"Quercus","alba","0",NA,NA
"harvard",NA,"bbd","2003",138.333333333333,2003-05-18,"Quercus","alba","0",NA,NA
"harvard",NA,"bbd","2004",132.333333333333,2004-05-11,"Quercus","alba","0",NA,NA
"harvard",NA,"bbd","2005",136.333333333333,2005-05-16,"Quercus","alba","0",NA,NA
"harvard",NA,"bbd","2006",132,2006-05-12,"Quercus","alba","0",NA,NA
"harvard",NA,"bbd","2007",131,2007-05-11,"Quercus","alba","0",NA,NA
"harvard",NA,"bbd","2008",132,2008-05-11,"Quercus","alba","0",NA,NA
"harvard",NA,"bbd","2009",123,2009-05-03,"Quercus","alba","0",NA,NA
"harvard",NA,"bbd","2010",124,2010-05-04,"Quercus","alba","0",NA,NA
"harvard",NA,"bbd","2011",130,2011-05-10,"Quercus","alba","0",NA,NA
"harvard",NA,"bbd","2012",127,2012-05-06,"Quercus","alba","0",NA,NA
"harvard",NA,"bbd","2013",127.333333333333,2013-05-07,"Quercus","alba","0",NA,NA
"harvard",NA,"bbd","2014",138.333333333333,2014-05-18,"Quercus","alba","0",NA,NA
"harvard",NA,"bbd","1990",123,1990-05-03,"Betula","alleghaniensis","0",NA,NA
"harvard",NA,"bbd","1991",119.333333333333,1991-04-29,"Betula","alleghaniensis","0",NA,NA
"harvard",NA,"bbd","1992",132.333333333333,1992-05-11,"Betula","alleghaniensis","0",NA,NA
"harvard",NA,"bbd","1993",117.333333333333,1993-04-27,"Betula","alleghaniensis","0",NA,NA
"harvard",NA,"bbd","1994",126,1994-05-06,"Betula","alleghaniensis","0",NA,NA
"harvard",NA,"bbd","1995",132,1995-05-12,"Betula","alleghaniensis","0",NA,NA
"harvard",NA,"bbd","1996",119,1996-04-28,"Betula","alleghaniensis","0",NA,NA
"harvard",NA,"bbd","1997",126.333333333333,1997-05-06,"Betula","alleghaniensis","0",NA,NA
"harvard",NA,"bbd","1998",119,1998-04-29,"Betula","alleghaniensis","0",NA,NA
"harvard",NA,"bbd","1999",124.333333333333,1999-05-04,"Betula","alleghaniensis","0",NA,NA
"harvard",NA,"bbd","2000",126.666666666667,2000-05-05,"Betula","alleghaniensis","0",NA,NA
"harvard",NA,"bbd","2001",124,2001-05-04,"Betula","alleghaniensis","0",NA,NA
"harvard",NA,"bbd","2002",115.666666666667,2002-04-25,"Betula","alleghaniensis","0",NA,NA
"harvard",NA,"bbd","2003",129.666666666667,2003-05-09,"Betula","alleghaniensis","0",NA,NA
"harvard",NA,"bbd","2004",121.333333333333,2004-04-30,"Betula","alleghaniensis","0",NA,NA
"harvard",NA,"bbd","2005",126.666666666667,2005-05-06,"Betula","alleghaniensis","0",NA,NA
"harvard",NA,"bbd","2006",124.666666666667,2006-05-04,"Betula","alleghaniensis","0",NA,NA
"harvard",NA,"bbd","2007",125.333333333333,2007-05-05,"Betula","alleghaniensis","0",NA,NA
"harvard",NA,"bbd","2008",124,2008-05-03,"Betula","alleghaniensis","0",NA,NA
"harvard",NA,"bbd","2009",120.666666666667,2009-04-30,"Betula","alleghaniensis","0",NA,NA
"harvard",NA,"bbd","2010",110,2010-04-20,"Betula","alleghaniensis","0",NA,NA
"harvard",NA,"bbd","2011",126,2011-05-06,"Betula","alleghaniensis","0",NA,NA
"harvard",NA,"bbd","2012",115,2012-04-24,"Betula","alleghaniensis","0",NA,NA
"harvard",NA,"bbd","2013",126,2013-05-06,"Betula","alleghaniensis","0",NA,NA
"harvard",NA,"bbd","2014",133,2014-05-13,"Betula","alleghaniensis","0",NA,NA
"harvard",NA,"bbd","1991",109,1991-04-19,"Cornus","alternifolia","0",NA,NA
"harvard",NA,"bbd","1992",120.333333333333,1992-04-29,"Cornus","alternifolia","0",NA,NA
"harvard",NA,"bbd","1993",111.333333333333,1993-04-21,"Cornus","alternifolia","0",NA,NA
"harvard",NA,"bbd","1994",118,1994-04-28,"Cornus","alternifolia","0",NA,NA
"harvard",NA,"bbd","1995",123,1995-05-03,"Cornus","alternifolia","0",NA,NA
"harvard",NA,"bbd","1996",116,1996-04-25,"Cornus","alternifolia","0",NA,NA
"harvard",NA,"bbd","1997",128.5,1997-05-08,"Cornus","alternifolia","0",NA,NA
"harvard",NA,"bbd","1998",113.5,1998-04-23,"Cornus","alternifolia","0",NA,NA
"harvard",NA,"bbd","1999",123,1999-05-03,"Cornus","alternifolia","0",NA,NA
"harvard",NA,"bbd","2000",122,2000-05-01,"Cornus","alternifolia","0",NA,NA
"harvard",NA,"bbd","2001",130,2001-05-10,"Cornus","alternifolia","0",NA,NA
"harvard",NA,"bbd","2002",107,2002-04-17,"Cornus","alternifolia","0",NA,NA
"harvard",NA,"bbd","2003",121,2003-05-01,"Cornus","alternifolia","0",NA,NA
"harvard",NA,"bbd","2004",115.5,2004-04-24,"Cornus","alternifolia","0",NA,NA
"harvard",NA,"bbd","2005",112,2005-04-22,"Cornus","alternifolia","0",NA,NA
"harvard",NA,"bbd","2006",111,2006-04-21,"Cornus","alternifolia","0",NA,NA
"harvard",NA,"bbd","2007",122,2007-05-02,"Cornus","alternifolia","0",NA,NA
"harvard",NA,"bbd","2008",114,2008-04-23,"Cornus","alternifolia","0",NA,NA
"harvard",NA,"bbd","2009",117,2009-04-27,"Cornus","alternifolia","0",NA,NA
"harvard",NA,"bbd","2010",100.5,2010-04-10,"Cornus","alternifolia","0",NA,NA
"harvard",NA,"bbd","2011",119,2011-04-29,"Cornus","alternifolia","0",NA,NA
"harvard",NA,"bbd","2012",109,2012-04-18,"Cornus","alternifolia","0",NA,NA
"harvard",NA,"bbd","2013",120.5,2013-04-30,"Cornus","alternifolia","0",NA,NA
"harvard",NA,"bbd","2014",129.5,2014-05-09,"Cornus","alternifolia","0",NA,NA
"harvard",NA,"bbd","1990",123.25,1990-05-03,"Fraxinus","americana","0",NA,NA
"harvard",NA,"bbd","1991",128,1991-05-08,"Fraxinus","americana","0",NA,NA
"harvard",NA,"bbd","1992",138,1992-05-17,"Fraxinus","americana","0",NA,NA
"harvard",NA,"bbd","1993",124.6,1993-05-04,"Fraxinus","americana","0",NA,NA
"harvard",NA,"bbd","1994",134.2,1994-05-14,"Fraxinus","americana","0",NA,NA
"harvard",NA,"bbd","1995",134.8,1995-05-14,"Fraxinus","americana","0",NA,NA
"harvard",NA,"bbd","1996",132.25,1996-05-11,"Fraxinus","americana","0",NA,NA
"harvard",NA,"bbd","1997",136.25,1997-05-16,"Fraxinus","americana","0",NA,NA
"harvard",NA,"bbd","1998",126,1998-05-06,"Fraxinus","americana","0",NA,NA
"harvard",NA,"bbd","1999",127,1999-05-07,"Fraxinus","americana","0",NA,NA
"harvard",NA,"bbd","2000",130.5,2000-05-09,"Fraxinus","americana","0",NA,NA
"harvard",NA,"bbd","2001",125,2001-05-05,"Fraxinus","americana","0",NA,NA
"harvard",NA,"bbd","2002",133.75,2002-05-13,"Fraxinus","americana","0",NA,NA
"harvard",NA,"bbd","2003",133.5,2003-05-13,"Fraxinus","americana","0",NA,NA
"harvard",NA,"bbd","2004",128,2004-05-07,"Fraxinus","americana","0",NA,NA
"harvard",NA,"bbd","2005",135.75,2005-05-15,"Fraxinus","americana","0",NA,NA
"harvard",NA,"bbd","2006",128.75,2006-05-08,"Fraxinus","americana","0",NA,NA
"harvard",NA,"bbd","2007",130.5,2007-05-10,"Fraxinus","americana","0",NA,NA
"harvard",NA,"bbd","2008",129.5,2008-05-08,"Fraxinus","americana","0",NA,NA
"harvard",NA,"bbd","2009",122.5,2009-05-02,"Fraxinus","americana","0",NA,NA
"harvard",NA,"bbd","2010",121.5,2010-05-01,"Fraxinus","americana","0",NA,NA
"harvard",NA,"bbd","2011",130,2011-05-10,"Fraxinus","americana","0",NA,NA
"harvard",NA,"bbd","2012",126.25,2012-05-05,"Fraxinus","americana","0",NA,NA
"harvard",NA,"bbd","2013",129,2013-05-09,"Fraxinus","americana","0",NA,NA
"harvard",NA,"bbd","2014",135.5,2014-05-15,"Fraxinus","americana","0",NA,NA
"harvard",NA,"bbd","1990",148,1990-05-28,"Kalmia","angustifolia","0",NA,NA
"harvard",NA,"bbd","1991",140,1991-05-20,"Kalmia","angustifolia","0",NA,NA
"harvard",NA,"bbd","1992",147.333333333333,1992-05-26,"Kalmia","angustifolia","0",NA,NA
"harvard",NA,"bbd","1993",143.333333333333,1993-05-23,"Kalmia","angustifolia","0",NA,NA
"harvard",NA,"bbd","1994",152.333333333333,1994-06-01,"Kalmia","angustifolia","0",NA,NA
"harvard",NA,"bbd","1995",148,1995-05-28,"Kalmia","angustifolia","0",NA,NA
"harvard",NA,"bbd","1996",149,1996-05-28,"Kalmia","angustifolia","0",NA,NA
"harvard",NA,"bbd","1997",154,1997-06-03,"Kalmia","angustifolia","0",NA,NA
"harvard",NA,"bbd","1998",139,1998-05-19,"Kalmia","angustifolia","0",NA,NA
"harvard",NA,"bbd","1999",136.333333333333,1999-05-16,"Kalmia","angustifolia","0",NA,NA
"harvard",NA,"bbd","2000",143,2000-05-22,"Kalmia","angustifolia","0",NA,NA
"harvard",NA,"bbd","2001",139.666666666667,2001-05-19,"Kalmia","angustifolia","0",NA,NA
"harvard",NA,"bbd","1990",150,1990-05-30,"Tsuga","canadensis","0",NA,NA
"harvard",NA,"bbd","1991",144.666666666667,1991-05-24,"Tsuga","canadensis","0",NA,NA
"harvard",NA,"bbd","1992",147,1992-05-26,"Tsuga","canadensis","0",NA,NA
"harvard",NA,"bbd","1993",141.666666666667,1993-05-21,"Tsuga","canadensis","0",NA,NA
"harvard",NA,"bbd","1994",147,1994-05-27,"Tsuga","canadensis","0",NA,NA
"harvard",NA,"bbd","1995",145.333333333333,1995-05-25,"Tsuga","canadensis","0",NA,NA
"harvard",NA,"bbd","1996",149,1996-05-28,"Tsuga","canadensis","0",NA,NA
"harvard",NA,"bbd","1997",151.666666666667,1997-05-31,"Tsuga","canadensis","0",NA,NA
"harvard",NA,"bbd","1998",137.333333333333,1998-05-17,"Tsuga","canadensis","0",NA,NA
"harvard",NA,"bbd","1999",141,1999-05-21,"Tsuga","canadensis","0",NA,NA
"harvard",NA,"bbd","2000",134.666666666667,2000-05-13,"Tsuga","canadensis","0",NA,NA
"harvard",NA,"bbd","2001",145,2001-05-25,"Tsuga","canadensis","0",NA,NA
"harvard",NA,"bbd","1990",114.666666666667,1990-04-24,"Viburnum","cassinoides","0",NA,NA
"harvard",NA,"bbd","1991",99,1991-04-09,"Viburnum","cassinoides","0",NA,NA
"harvard",NA,"bbd","1992",120.666666666667,1992-04-29,"Viburnum","cassinoides","0",NA,NA
"harvard",NA,"bbd","1993",114.333333333333,1993-04-24,"Viburnum","cassinoides","0",NA,NA
"harvard",NA,"bbd","1994",118,1994-04-28,"Viburnum","cassinoides","0",NA,NA
"harvard",NA,"bbd","1995",121,1995-05-01,"Viburnum","cassinoides","0",NA,NA
"harvard",NA,"bbd","1996",114,1996-04-23,"Viburnum","cassinoides","0",NA,NA
"harvard",NA,"bbd","1997",120,1997-04-30,"Viburnum","cassinoides","0",NA,NA
"harvard",NA,"bbd","1998",104.333333333333,1998-04-14,"Viburnum","cassinoides","0",NA,NA
"harvard",NA,"bbd","1999",111,1999-04-21,"Viburnum","cassinoides","0",NA,NA
"harvard",NA,"bbd","2000",104,2000-04-13,"Viburnum","cassinoides","0",NA,NA
"harvard",NA,"bbd","2001",119.333333333333,2001-04-29,"Viburnum","cassinoides","0",NA,NA
"harvard",NA,"bbd","2002",106,2002-04-16,"Viburnum","cassinoides","0",NA,NA
"harvard",NA,"bbd","2003",115.666666666667,2003-04-25,"Viburnum","cassinoides","0",NA,NA
"harvard",NA,"bbd","1990",118,1990-04-28,"Vaccinium","corymbosum","0",NA,NA
"harvard",NA,"bbd","1991",104.75,1991-04-14,"Vaccinium","corymbosum","0",NA,NA
"harvard",NA,"bbd","1992",128.75,1992-05-07,"Vaccinium","corymbosum","0",NA,NA
"harvard",NA,"bbd","1993",118.75,1993-04-28,"Vaccinium","corymbosum","0",NA,NA
"harvard",NA,"bbd","1994",124,1994-05-04,"Vaccinium","corymbosum","0",NA,NA
"harvard",NA,"bbd","1995",126.75,1995-05-06,"Vaccinium","corymbosum","0",NA,NA
"harvard",NA,"bbd","1996",120.5,1996-04-29,"Vaccinium","corymbosum","0",NA,NA
"harvard",NA,"bbd","1997",125,1997-05-05,"Vaccinium","corymbosum","0",NA,NA
"harvard",NA,"bbd","1998",108,1998-04-18,"Vaccinium","corymbosum","0",NA,NA
"harvard",NA,"bbd","1999",123,1999-05-03,"Vaccinium","corymbosum","0",NA,NA
"harvard",NA,"bbd","2000",121.5,2000-04-30,"Vaccinium","corymbosum","0",NA,NA
"harvard",NA,"bbd","2001",121,2001-05-01,"Vaccinium","corymbosum","0",NA,NA
"harvard",NA,"bbd","1990",125,1990-05-05,"Fagus","grandifolia","0",NA,NA
"harvard",NA,"bbd","1991",124,1991-05-04,"Fagus","grandifolia","0",NA,NA
"harvard",NA,"bbd","1992",134.75,1992-05-13,"Fagus","grandifolia","0",NA,NA
"harvard",NA,"bbd","1993",122.75,1993-05-02,"Fagus","grandifolia","0",NA,NA
"harvard",NA,"bbd","1994",129.25,1994-05-09,"Fagus","grandifolia","0",NA,NA
"harvard",NA,"bbd","1995",131,1995-05-11,"Fagus","grandifolia","0",NA,NA
"harvard",NA,"bbd","1996",132.25,1996-05-11,"Fagus","grandifolia","0",NA,NA
"harvard",NA,"bbd","1997",132.25,1997-05-12,"Fagus","grandifolia","0",NA,NA
"harvard",NA,"bbd","1998",121.5,1998-05-01,"Fagus","grandifolia","0",NA,NA
"harvard",NA,"bbd","1999",124,1999-05-04,"Fagus","grandifolia","0",NA,NA
"harvard",NA,"bbd","2000",126.75,2000-05-05,"Fagus","grandifolia","0",NA,NA
"harvard",NA,"bbd","2001",122.75,2001-05-02,"Fagus","grandifolia","0",NA,NA
"harvard",NA,"bbd","2002",120,2002-04-30,"Fagus","grandifolia","0",NA,NA
"harvard",NA,"bbd","2003",129.5,2003-05-09,"Fagus","grandifolia","0",NA,NA
"harvard",NA,"bbd","2004",125.666666666667,2004-05-04,"Fagus","grandifolia","0",NA,NA
"harvard",NA,"bbd","2005",129,2005-05-09,"Fagus","grandifolia","0",NA,NA
"harvard",NA,"bbd","2006",127,2006-05-07,"Fagus","grandifolia","0",NA,NA
"harvard",NA,"bbd","2007",128.5,2007-05-08,"Fagus","grandifolia","0",NA,NA
"harvard",NA,"bbd","2008",124.75,2008-05-03,"Fagus","grandifolia","0",NA,NA
"harvard",NA,"bbd","2009",120,2009-04-30,"Fagus","grandifolia","0",NA,NA
"harvard",NA,"bbd","2010",117.75,2010-04-27,"Fagus","grandifolia","0",NA,NA
"harvard",NA,"bbd","2011",125.25,2011-05-05,"Fagus","grandifolia","0",NA,NA
"harvard",NA,"bbd","2012",120,2012-04-29,"Fagus","grandifolia","0",NA,NA
"harvard",NA,"bbd","2013",125,2013-05-05,"Fagus","grandifolia","0",NA,NA
"harvard",NA,"bbd","2014",133.5,2014-05-13,"Fagus","grandifolia","0",NA,NA
"harvard",NA,"bbd","1990",148,1990-05-28,"Kalmia","latifolia","0",NA,NA
"harvard",NA,"bbd","1991",139,1991-05-19,"Kalmia","latifolia","0",NA,NA
"harvard",NA,"bbd","1992",145.333333333333,1992-05-24,"Kalmia","latifolia","0",NA,NA
"harvard",NA,"bbd","1993",137,1993-05-17,"Kalmia","latifolia","0",NA,NA
"harvard",NA,"bbd","1994",145.666666666667,1994-05-25,"Kalmia","latifolia","0",NA,NA
"harvard",NA,"bbd","1995",142,1995-05-22,"Kalmia","latifolia","0",NA,NA
"harvard",NA,"bbd","1996",145,1996-05-24,"Kalmia","latifolia","0",NA,NA
"harvard",NA,"bbd","1997",151.666666666667,1997-05-31,"Kalmia","latifolia","0",NA,NA
"harvard",NA,"bbd","1998",134,1998-05-14,"Kalmia","latifolia","0",NA,NA
"harvard",NA,"bbd","1999",133,1999-05-13,"Kalmia","latifolia","0",NA,NA
"harvard",NA,"bbd","2000",136,2000-05-15,"Kalmia","latifolia","0",NA,NA
"harvard",NA,"bbd","2001",137,2001-05-17,"Kalmia","latifolia","0",NA,NA
"harvard",NA,"bbd","1990",121,1990-05-01,"Betula","lenta","0",NA,NA
"harvard",NA,"bbd","1991",124.666666666667,1991-05-04,"Betula","lenta","0",NA,NA
"harvard",NA,"bbd","1992",138.333333333333,1992-05-17,"Betula","lenta","0",NA,NA
"harvard",NA,"bbd","1993",118.666666666667,1993-04-28,"Betula","lenta","0",NA,NA
"harvard",NA,"bbd","1994",130,1994-05-10,"Betula","lenta","0",NA,NA
"harvard",NA,"bbd","1995",133.333333333333,1995-05-13,"Betula","lenta","0",NA,NA
"harvard",NA,"bbd","1996",121,1996-04-30,"Betula","lenta","0",NA,NA
"harvard",NA,"bbd","1997",131,1997-05-11,"Betula","lenta","0",NA,NA
"harvard",NA,"bbd","1998",122.333333333333,1998-05-02,"Betula","lenta","0",NA,NA
"harvard",NA,"bbd","1999",125.666666666667,1999-05-05,"Betula","lenta","0",NA,NA
"harvard",NA,"bbd","2000",129,2000-05-08,"Betula","lenta","0",NA,NA
"harvard",NA,"bbd","2001",124,2001-05-04,"Betula","lenta","0",NA,NA
"harvard",NA,"bbd","2002",124,2002-05-04,"Betula","lenta","0",NA,NA
"harvard",NA,"bbd","2003",134.666666666667,2003-05-14,"Betula","lenta","0",NA,NA
"harvard",NA,"bbd","2004",125,2004-05-04,"Betula","lenta","0",NA,NA
"harvard",NA,"bbd","2005",134,2005-05-14,"Betula","lenta","0",NA,NA
"harvard",NA,"bbd","2006",127.666666666667,2006-05-07,"Betula","lenta","0",NA,NA
"harvard",NA,"bbd","2007",125.333333333333,2007-05-05,"Betula","lenta","0",NA,NA
"harvard",NA,"bbd","2008",130.333333333333,2008-05-09,"Betula","lenta","0",NA,NA
"harvard",NA,"bbd","2009",122,2009-05-02,"Betula","lenta","0",NA,NA
"harvard",NA,"bbd","2010",120.666666666667,2010-04-30,"Betula","lenta","0",NA,NA
"harvard",NA,"bbd","2011",128.666666666667,2011-05-08,"Betula","lenta","0",NA,NA
"harvard",NA,"bbd","2012",119,2012-04-28,"Betula","lenta","0",NA,NA
"harvard",NA,"bbd","2013",127.333333333333,2013-05-07,"Betula","lenta","0",NA,NA
"harvard",NA,"bbd","2014",136.666666666667,2014-05-16,"Betula","lenta","0",NA,NA
"harvard",NA,"bbd","1990",131,1990-05-11,"Lyonia","ligustrina","0",NA,NA
"harvard",NA,"bbd","1991",137,1991-05-17,"Lyonia","ligustrina","0",NA,NA
"harvard",NA,"bbd","1992",140,1992-05-19,"Lyonia","ligustrina","0",NA,NA
"harvard",NA,"bbd","1993",121,1993-05-01,"Lyonia","ligustrina","0",NA,NA
"harvard",NA,"bbd","1994",136,1994-05-16,"Lyonia","ligustrina","0",NA,NA
"harvard",NA,"bbd","1995",134.666666666667,1995-05-14,"Lyonia","ligustrina","0",NA,NA
"harvard",NA,"bbd","1996",124,1996-05-03,"Lyonia","ligustrina","0",NA,NA
"harvard",NA,"bbd","1997",136,1997-05-16,"Lyonia","ligustrina","0",NA,NA
"harvard",NA,"bbd","1998",128,1998-05-08,"Lyonia","ligustrina","0",NA,NA
"harvard",NA,"bbd","1999",131,1999-05-11,"Lyonia","ligustrina","0",NA,NA
"harvard",NA,"bbd","2000",130,2000-05-09,"Lyonia","ligustrina","0",NA,NA
"harvard",NA,"bbd","2001",125,2001-05-05,"Lyonia","ligustrina","0",NA,NA
"harvard",NA,"bbd","1990",120,1990-04-30,"Betula","papyrifera","0",NA,NA
"harvard",NA,"bbd","1991",122,1991-05-02,"Betula","papyrifera","0",NA,NA
"harvard",NA,"bbd","1992",132.75,1992-05-11,"Betula","papyrifera","0",NA,NA
"harvard",NA,"bbd","1993",117.5,1993-04-27,"Betula","papyrifera","0",NA,NA
"harvard",NA,"bbd","1994",124,1994-05-04,"Betula","papyrifera","0",NA,NA
"harvard",NA,"bbd","1995",129,1995-05-09,"Betula","papyrifera","0",NA,NA
"harvard",NA,"bbd","1996",117.5,1996-04-26,"Betula","papyrifera","0",NA,NA
"harvard",NA,"bbd","1997",130.5,1997-05-10,"Betula","papyrifera","0",NA,NA
"harvard",NA,"bbd","1998",116.5,1998-04-26,"Betula","papyrifera","0",NA,NA
"harvard",NA,"bbd","1999",123,1999-05-03,"Betula","papyrifera","0",NA,NA
"harvard",NA,"bbd","2000",126,2000-05-05,"Betula","papyrifera","0",NA,NA
"harvard",NA,"bbd","2001",122,2001-05-02,"Betula","papyrifera","0",NA,NA
"harvard",NA,"bbd","2002",110.25,2002-04-20,"Betula","papyrifera","0",NA,NA
"harvard",NA,"bbd","2003",123,2003-05-03,"Betula","papyrifera","0",NA,NA
"harvard",NA,"bbd","2004",119.75,2004-04-28,"Betula","papyrifera","0",NA,NA
"harvard",NA,"bbd","2005",120,2005-04-30,"Betula","papyrifera","0",NA,NA
"harvard",NA,"bbd","2006",121.75,2006-05-01,"Betula","papyrifera","0",NA,NA
"harvard",NA,"bbd","2007",124,2007-05-04,"Betula","papyrifera","0",NA,NA
"harvard",NA,"bbd","2008",121.25,2008-04-30,"Betula","papyrifera","0",NA,NA
"harvard",NA,"bbd","2009",118,2009-04-28,"Betula","papyrifera","0",NA,NA
"harvard",NA,"bbd","2010",105.5,2010-04-15,"Betula","papyrifera","0",NA,NA
"harvard",NA,"bbd","2011",123,2011-05-03,"Betula","papyrifera","0",NA,NA
"harvard",NA,"bbd","2012",110.5,2012-04-19,"Betula","papyrifera","0",NA,NA
"harvard",NA,"bbd","2013",123,2013-05-03,"Betula","papyrifera","0",NA,NA
"harvard",NA,"bbd","2014",132,2014-05-12,"Betula","papyrifera","0",NA,NA
"harvard",NA,"bbd","1990",122.5,1990-05-02,"Acer","pensylvanicum","0",NA,NA
