"","site","species","tbase","sens_gddsoil","se_soil","t_soil","p_soil","aic_gddsoil","sens_gddair","se_air","t_air","p_air","aic_gddair"
"1","marchin","Quercus.alba","2","0.023","0.004","5.092","0","1565.411","-0.001","0.002","-0.626","0.532","1480.504"
"2","marchin","Quercus.alba","4","0.002","0.005","0.351","0.726","1590.123","-0.003","0.001","-1.818","0.07","1477.587"
"3","marchin","Quercus.alba","6","0.015","0.01","1.452","0.148","1588.13","-0.004","0.002","-2.525","0.012","1474.554"
"4","marchin","Quercus.alba","8","0.057","0.029","1.98","0.049","1586.326","-0.006","0.003","-2.469","0.014","1474.83"
"5","marchin","Quercus.alba","10","-0.129","0.179","-0.718","0.474","1589.729","-0.014","0.005","-2.636","0.009","1473.997"
"6","marchin","Acer.rubrum","2","0.041","0.004","9.925","0","1224.273","0.002","0.002","1.206","0.229","1232.742"
"7","marchin","Acer.rubrum","4","0.025","0.006","4.264","0","1286.494","0.001","0.002","0.407","0.685","1234.04"
"8","marchin","Acer.rubrum","6","0.031","0.011","2.931","0.004","1295.536","0","0.002","-0.186","0.853","1234.172"
"9","marchin","Acer.rubrum","8","0.056","0.026","2.123","0.035","1299.523","0","0.004","-0.061","0.952","1234.204"
"10","marchin","Acer.rubrum","10","0.147","0.105","1.408","0.161","1302.027","-0.008","0.007","-1.089","0.278","1233.012"
"11","marchin","Carya.tomentosa","2","0.023","0.008","2.929","0.004","593.241","-0.002","0.002","-0.987","0.327","573.388"
"12","marchin","Carya.tomentosa","4","0.003","0.009","0.291","0.772","601.529","-0.004","0.002","-1.707","0.091","571.445"
"13","marchin","Carya.tomentosa","6","0.001","0.016","0.076","0.94","601.609","-0.006","0.002","-2.434","0.017","568.514"
"14","marchin","Carya.tomentosa","8","0.02","0.033","0.592","0.555","601.258","-0.01","0.004","-2.832","0.006","566.533"
"15","marchin","Carya.tomentosa","10","0.029","0.144","0.2","0.842","601.574","-0.022","0.008","-2.941","0.004","565.946"
"16","marchin","Vaccinium.stamineum","2","0.067","0.004","17.109","0","763.776","0.012","0.003","4.707","0","720.216"
"17","marchin","Vaccinium.stamineum","4","0.077","0.007","11.318","0","823.303","0.013","0.003","4.503","0","721.777"
"18","marchin","Vaccinium.stamineum","6","0.137","0.01","13.993","0","794.978","0.015","0.004","4.227","0","723.816"
"19","marchin","Vaccinium.stamineum","8","0.387","0.044","8.821","0","850.091","0.028","0.005","5.461","0","714.108"
"20","marchin","Vaccinium.stamineum","10","-0.639","0.583","-1.097","0.275","909.011","0.057","0.009","6.737","0","702.801"
"21","marchin","Hieracium.venosum","2","0.072","0.015","4.731","0","113.898","-0.003","0.009","-0.328","0.748","121.745"
"22","marchin","Hieracium.venosum","4","0.072","0.022","3.234","0.006","120.25","-0.005","0.009","-0.522","0.61","121.558"
"23","marchin","Hieracium.venosum","6","0.111","0.018","6.129","0","108.316","-0.007","0.01","-0.661","0.52","121.372"
"24","marchin","Hieracium.venosum","8","0.157","0.049","3.218","0.006","120.32","0.001","0.016","0.048","0.963","121.866"
"25","marchin","Hieracium.venosum","10","1.615","0.447","3.611","0.003","118.645","0.003","0.023","0.124","0.903","121.851"
"26","marchin","Thalictrum.thalictroides","2","0.067","0.01","6.518","0","166.914","0.004","0.004","0.925","0.366","162.301"
"27","marchin","Thalictrum.thalictroides","4","0.081","0.02","4.034","0","180.19","0.003","0.005","0.627","0.537","162.793"
"28","marchin","Thalictrum.thalictroides","6","0.164","0.054","3.04","0.005","185.231","0.003","0.006","0.473","0.642","162.977"
"29","marchin","Thalictrum.thalictroides","8","0.657","0.201","3.273","0.003","184.095","0.009","0.01","0.853","0.404","162.436"
"30","marchin","Thalictrum.thalictroides","10",NA,NA,NA,NA,"191.725","0.017","0.023","0.723","0.478","162.654"
"31","marchin","Quercus.rubra","2","0.034","0.017","2.024","0.058","134.042","-0.002","0.005","-0.477","0.639","136.635"
"32","marchin","Quercus.rubra","4","0.011","0.022","0.479","0.638","137.891","-0.004","0.005","-0.729","0.475","136.305"
"33","marchin","Quercus.rubra","6","0.018","0.043","0.427","0.674","137.942","-0.005","0.005","-0.866","0.398","136.07"
"34","marchin","Quercus.rubra","8","0.024","0.095","0.258","0.8","138.07","-0.005","0.008","-0.591","0.562","136.503"
"35","marchin","Quercus.rubra","10","0.024","0.322","0.074","0.942","138.138","-0.012","0.017","-0.685","0.502","136.372"
"36","marchin","Hexastylis.arifolia","2","0.076","0.015","5.016","0","104.994","-0.004","0.012","-0.338","0.741","112.343"
"37","marchin","Hexastylis.arifolia","4","0.109","0.04","2.728","0.017","114.358","-0.009","0.013","-0.673","0.513","111.957"
"38","marchin","Hexastylis.arifolia","6","0.21","0.032","6.639","0","98.956","-0.011","0.016","-0.693","0.502","111.927"
"39","marchin","Hexastylis.arifolia","8","0.371","0.129","2.88","0.013","113.746","-0.003","0.03","-0.098","0.923","112.465"
"40","marchin","Hexastylis.arifolia","10",NA,NA,NA,NA,"119.147","0.041","0.047","0.861","0.406","111.637"
"41","marchin","Vaccinium.pallidum","2","0.065","0.005","12.966","0","1169.069","0.008","0.003","2.751","0.007","1294.838"
"42","marchin","Vaccinium.pallidum","4","0.043","0.009","5.074","0","1262.542","0.003","0.003","0.968","0.335","1301.382"
"43","marchin","Vaccinium.pallidum","6","0.081","0.014","5.88","0","1254.971","-0.002","0.003","-0.671","0.503","1301.873"
"44","marchin","Vaccinium.pallidum","8","0.193","0.028","6.796","0","1245.505","-0.003","0.005","-0.635","0.526","1301.92"
"45","marchin","Vaccinium.pallidum","10","0.106","0.127","0.833","0.406","1286.071","0.009","0.009","1.013","0.313","1301.293"
"46","marchin","Tipularia.discolor","2","0.012","0.003","4.732","0","209.727","0.005","0.001","3.569","0.001","159.228"
"47","marchin","Tipularia.discolor","4","0.011","0.003","4.406","0","211.661","0.004","0.001","3.473","0.002","159.715"
"48","marchin","Tipularia.discolor","6","0.014","0.003","4.923","0","208.579","0.005","0.001","3.502","0.002","159.57"
"49","marchin","Tipularia.discolor","8","0.015","0.003","4.91","0","208.659","0.005","0.002","3.482","0.002","159.669"
"50","marchin","Tipularia.discolor","10","0.016","0.003","4.449","0","211.404","0.006","0.002","3.57","0.001","159.221"
"51","marchin","Chimaphila.maculata","2","0.125","0.038","3.311","0.013","67.635","-0.033","0.013","-2.569","0.037","70.139"
"52","marchin","Chimaphila.maculata","4","0.082","0.072","1.15","0.288","74.557","-0.033","0.01","-3.223","0.015","67.926"
"53","marchin","Chimaphila.maculata","6","0.138","0.04","3.48","0.01","67.076","-0.036","0.008","-4.325","0.003","64.409"
"54","marchin","Chimaphila.maculata","8","0.101","0.083","1.224","0.261","74.371","-0.047","0.014","-3.312","0.013","67.63"
"55","marchin","Chimaphila.maculata","10","0.235","0.1","2.347","0.051","70.889","-0.055","0.018","-3.034","0.019","68.559"
"56","bace","Quercus.rubra","2","0.044","0.002","20.783","0","1882.138","-0.055","0.018","-3.034","0.019",NA
"57","bace","Quercus.rubra","4","0.052","0.002","22.073","0","1861.752","-0.055","0.018","-3.034","0.019",NA
"58","bace","Quercus.rubra","6","0.06","0.003","20.797","0","1881.912","-0.055","0.018","-3.034","0.019",NA
"59","bace","Quercus.rubra","8","0.066","0.004","15.444","0","1968.923","-0.055","0.018","-3.034","0.019",NA
"60","bace","Quercus.rubra","10","0.101","0.008","13.131","0","2006.504","-0.055","0.018","-3.034","0.019",NA
"61","bace","Betula.lenta","2","0.051","0.002","23.017","0","1345.145","-0.055","0.018","-3.034","0.019",NA
"62","bace","Betula.lenta","4","0.059","0.002","24.119","0","1331.714","-0.055","0.018","-3.034","0.019",NA
"63","bace","Betula.lenta","6","0.069","0.003","22.443","0","1352.26","-0.055","0.018","-3.034","0.019",NA
"64","bace","Betula.lenta","8","0.085","0.005","16.156","0","1435.208","-0.055","0.018","-3.034","0.019",NA
"65","bace","Betula.lenta","10","0.129","0.01","13.02","0","1478.862","-0.055","0.018","-3.034","0.019",NA
"66","bace","Acer.rubrum","2","0.047","0.002","22.098","0","1825.406","-0.055","0.018","-3.034","0.019",NA
"67","bace","Acer.rubrum","4","0.055","0.002","23.493","0","1804.097","-0.055","0.018","-3.034","0.019",NA
"68","bace","Acer.rubrum","6","0.064","0.003","22.285","0","1822.527","-0.055","0.018","-3.034","0.019",NA
"69","bace","Acer.rubrum","8","0.073","0.005","15.261","0","1934.572","-0.055","0.018","-3.034","0.019",NA
"70","bace","Acer.rubrum","10","0.106","0.009","12.443","0","1979.667","-0.055","0.018","-3.034","0.019",NA
"71","farnsworth","Acer.pensylvanicum","2","0.03","0.003","11.578","0","1951.502","-0.055","0.018","-3.034","0.019",NA
"72","farnsworth","Acer.pensylvanicum","4","0.07","0.003","23.435","0","1769.209","-0.055","0.018","-3.034","0.019",NA
"73","farnsworth","Acer.pensylvanicum","6","0.084","0.005","17.134","0","1864.895","-0.055","0.018","-3.034","0.019",NA
"74","farnsworth","Acer.pensylvanicum","8","0.143","0.01","14.367","0","1908.427","-0.055","0.018","-3.034","0.019",NA
"75","farnsworth","Acer.pensylvanicum","10",NA,NA,NA,NA,"2057.217","-0.055","0.018","-3.034","0.019",NA
"76","farnsworth","Acer.rubrum","2","0.015","0.002","5.955","0","1205.096","-0.055","0.018","-3.034","0.019",NA
"77","farnsworth","Acer.rubrum","4","0.046","0.004","11.617","0","1137.793","-0.055","0.018","-3.034","0.019",NA
"78","farnsworth","Acer.rubrum","6","0.046","0.006","8.359","0","1178.646","-0.055","0.018","-3.034","0.019",NA
"79","farnsworth","Acer.rubrum","8","0.07","0.012","5.823","0","1206.396","-0.055","0.018","-3.034","0.019",NA
"80","farnsworth","Acer.rubrum","10",NA,NA,NA,NA,"1235.609","-0.055","0.018","-3.034","0.019",NA
"81","farnsworth","Fagus.grandifolia","2","0.06","0.002","26.4","0","844.144","-0.055","0.018","-3.034","0.019",NA
"82","farnsworth","Fagus.grandifolia","4","0.072","0.002","32.614","0","809.296","-0.055","0.018","-3.034","0.019",NA
"83","farnsworth","Fagus.grandifolia","6","0.086","0.004","22.481","0","869.568","-0.055","0.018","-3.034","0.019",NA
"84","farnsworth","Fagus.grandifolia","8","0.113","0.007","17.056","0","910.302","-0.055","0.018","-3.034","0.019",NA
"85","farnsworth","Fagus.grandifolia","10","0.134","0.022","6.123","0","1010.375","-0.055","0.018","-3.034","0.019",NA
"86","farnsworth","Viburnum.lentago","2","0.057","0.003","17.38","0","248.082","-0.055","0.018","-3.034","0.019",NA
"87","farnsworth","Viburnum.lentago","4","0.067","0.003","22.29","0","234.599","-0.055","0.018","-3.034","0.019",NA
"88","farnsworth","Viburnum.lentago","6","0.077","0.005","16.47","0","250.932","-0.055","0.018","-3.034","0.019",NA
"89","farnsworth","Viburnum.lentago","8","0.098","0.007","13.742","0","260.311","-0.055","0.018","-3.034","0.019",NA
"90","farnsworth","Viburnum.lentago","10","0.15","0.022","6.717","0","292.1","-0.055","0.018","-3.034","0.019",NA
"91","farnsworth","Castanea.dentata","2","0.062","0.008","8.114","0","142.667","-0.055","0.018","-3.034","0.019",NA
"92","farnsworth","Castanea.dentata","4","0.079","0.004","18.532","0","118.685","-0.055","0.018","-3.034","0.019",NA
"93","farnsworth","Castanea.dentata","6","0.098","0.006","15.574","0","123.991","-0.055","0.018","-3.034","0.019",NA
"94","farnsworth","Castanea.dentata","8","0.163","0.01","16.293","0","122.621","-0.055","0.018","-3.034","0.019",NA
"95","farnsworth","Castanea.dentata","10","0.396","0.021","18.814","0","118.221","-0.055","0.018","-3.034","0.019",NA
"96","farnsworth","Viburnum.acerifolium","2","0.053","0.002","26.379","0","147.025","-0.055","0.018","-3.034","0.019",NA
"97","farnsworth","Viburnum.acerifolium","4","0.062","0.001","55.859","0","117.409","-0.055","0.018","-3.034","0.019",NA
"98","farnsworth","Viburnum.acerifolium","6","0.071","0.001","52.193","0","120.108","-0.055","0.018","-3.034","0.019",NA
"99","farnsworth","Viburnum.acerifolium","8","0.089","0.003","35.07","0","135.853","-0.055","0.018","-3.034","0.019",NA
"100","farnsworth","Viburnum.acerifolium","10","0.151","0.01","15.803","0","166.639","-0.055","0.018","-3.034","0.019",NA
"101","farnsworth","Amelanchier.grandifolia","2","0.034","0.008","4.084","0","288.957","-0.055","0.018","-3.034","0.019",NA
"102","farnsworth","Amelanchier.grandifolia","4","0.087","0.011","8.037","0","263.784","-0.055","0.018","-3.034","0.019",NA
"103","farnsworth","Amelanchier.grandifolia","6","0.092","0.024","3.853","0","290.317","-0.055","0.018","-3.034","0.019",NA
"104","farnsworth","Amelanchier.grandifolia","8","0.111","0.09","1.234","0.225","301.94","-0.055","0.018","-3.034","0.019",NA
"105","farnsworth","Amelanchier.grandifolia","10",NA,NA,NA,NA,"301.511","-0.055","0.018","-3.034","0.019",NA
"106","farnsworth","Quercus.rubra","2","0.058","0.004","16.076","0","300.676","-0.055","0.018","-3.034","0.019",NA
"107","farnsworth","Quercus.rubra","4","0.071","0.003","21.332","0","283.567","-0.055","0.018","-3.034","0.019",NA
"108","farnsworth","Quercus.rubra","6","0.084","0.005","15.304","0","303.56","-0.055","0.018","-3.034","0.019",NA
"109","farnsworth","Quercus.rubra","8","0.11","0.009","11.841","0","318.002","-0.055","0.018","-3.034","0.019",NA
"110","farnsworth","Quercus.rubra","10","0.157","0.033","4.714","0","356.56","-0.055","0.018","-3.034","0.019",NA
"111","farnsworth","Vaccinium.corymbosum","2","0.056","0.003","19.358","0","781.695","-0.055","0.018","-3.034","0.019",NA
"112","farnsworth","Vaccinium.corymbosum","4","0.072","0.003","28.77","0","720.852","-0.055","0.018","-3.034","0.019",NA
"113","farnsworth","Vaccinium.corymbosum","6","0.086","0.004","20.477","0","773.49","-0.055","0.018","-3.034","0.019",NA
"114","farnsworth","Vaccinium.corymbosum","8","0.115","0.007","16.465","0","804.313","-0.055","0.018","-3.034","0.019",NA
"115","farnsworth","Vaccinium.corymbosum","10","0.148","0.023","6.476","0","895.223","-0.055","0.018","-3.034","0.019",NA
"116","farnsworth","Vaccinium.vacillans","2","0.054","0.004","14.382","0","225.291","-0.055","0.018","-3.034","0.019",NA
"117","farnsworth","Vaccinium.vacillans","4","0.066","0.004","16.205","0","219.472","-0.055","0.018","-3.034","0.019",NA
"118","farnsworth","Vaccinium.vacillans","6","0.074","0.007","11.212","0","236.923","-0.055","0.018","-3.034","0.019",NA
"119","farnsworth","Vaccinium.vacillans","8","0.097","0.011","8.802","0","247.335","-0.055","0.018","-3.034","0.019",NA
"120","farnsworth","Vaccinium.vacillans","10","0.128","0.028","4.617","0","268.774","-0.055","0.018","-3.034","0.019",NA
"121","farnsworth","Prunus.serotina","2","0.046","0.003","16.382","0","287.711","-0.055","0.018","-3.034","0.019",NA
"122","farnsworth","Prunus.serotina","4","0.059","0.002","29.957","0","248.254","-0.055","0.018","-3.034","0.019",NA
"123","farnsworth","Prunus.serotina","6","0.068","0.002","27.321","0","254.451","-0.055","0.018","-3.034","0.019",NA
"124","farnsworth","Prunus.serotina","8","0.089","0.003","29.073","0","250.275","-0.055","0.018","-3.034","0.019",NA
"125","farnsworth","Prunus.serotina","10","0.154","0.007","23.64","0","264.087","-0.055","0.018","-3.034","0.019",NA
"126","farnsworth","Quercus.alba","2","0.008","0.008","1.038","0.322","93.989","-0.055","0.018","-3.034","0.019",NA
"127","farnsworth","Quercus.alba","4","0.031","0.014","2.169","0.053","90.572","-0.055","0.018","-3.034","0.019",NA
"128","farnsworth","Quercus.alba","6","0.031","0.018","1.682","0.121","92.228","-0.055","0.018","-3.034","0.019",NA
"129","farnsworth","Quercus.alba","8","0.051","0.04","1.283","0.226","93.39","-0.055","0.018","-3.034","0.019",NA
"130","farnsworth","Quercus.alba","10",NA,NA,NA,NA,"93.203","-0.055","0.018","-3.034","0.019",NA
"131","farnsworth","Sorbus.americana","2","0.064","0","1230.22","0","-32.796","-0.055","0.018","-3.034","0.019",NA
"132","farnsworth","Sorbus.americana","4","0.075","0","175.239","0","-5.514","-0.055","0.018","-3.034","0.019",NA
"133","farnsworth","Sorbus.americana","6","0.091","0.001","66.898","0","7.961","-0.055","0.018","-3.034","0.019",NA
"134","farnsworth","Sorbus.americana","8","0.154","0.03","5.054","0.004","42.878","-0.055","0.018","-3.034","0.019",NA
"135","farnsworth","Sorbus.americana","10",NA,NA,NA,NA,"53.547","-0.055","0.018","-3.034","0.019",NA
"136","clarkduke","Prunus.serotina","2","0.053","0.002","26.755","0","1478.751","0.053","0.001","36.641","0","1379.113"
"137","clarkduke","Prunus.serotina","4","0.057","0.002","24.117","0","1509.166","0.059","0.002","35.131","0","1392.997"
"138","clarkduke","Prunus.serotina","6","0.071","0.003","26.334","0","1483.494","0.068","0.002","32.435","0","1418.925"
"139","clarkduke","Prunus.serotina","8","0.09","0.004","20.431","0","1554.586","0.084","0.003","30.776","0","1435.639"
"140","clarkduke","Prunus.serotina","10","0.109","0.01","11.179","0","1679.587","0.108","0.005","22.263","0","1531.595"
"141","clarkduke","Fagus.grandifolia","2","0.072","0.002","46.239","0","738.077","0.061","0.001","57.017","0","686.52"
"142","clarkduke","Fagus.grandifolia","4","0.084","0.002","48.351","0","727.17","0.068","0.001","56.271","0","689.787"
"143","clarkduke","Fagus.grandifolia","6","0.101","0.002","52.46","0","707.131","0.079","0.001","52.542","0","706.748"
"144","clarkduke","Fagus.grandifolia","8","0.151","0.004","39.205","0","777.854","0.099","0.002","46.998","0","734.108"
"145","clarkduke","Fagus.grandifolia","10","0.541","0.356","1.52","0.131","1107.419","0.173","0.004","46.032","0","739.167"
"146","clarkduke","Pinus.taeda","2","0.051","0","112.931","0","29597.002","0.051","0","134.613","0","28607.946"
"147","clarkduke","Pinus.taeda","4","0.054","0.001","95.873","0","30455.027","0.056","0","124.728","0","29045.356"
"148","clarkduke","Pinus.taeda","6","0.062","0.001","94.346","0","30535.365","0.063","0.001","115.932","0","29453.508"
"149","clarkduke","Pinus.taeda","8","0.077","0.001","90.882","0","30719.752","0.076","0.001","110.189","0","29730.065"
"150","clarkduke","Pinus.taeda","10","0.093","0.001","67.372","0","32041.027","0.091","0.001","87.105","0","30924.111"
"151","clarkduke","Acer.rubrum","2","0.055","0","180.074","0","76069.353","0.054","0","221.731","0","72927.296"
"152","clarkduke","Acer.rubrum","4","0.058","0","153.001","0","78337.337","0.059","0","209.753","0","73789.587"
"153","clarkduke","Acer.rubrum","6","0.071","0","168.375","0","77026.924","0.069","0","209.316","0","73821.622"
"154","clarkduke","Acer.rubrum","8","0.095","0.001","143.126","0","79209.608","0.086","0","194.432","0","74940.193"
"155","clarkduke","Acer.rubrum","10","0.128","0.002","81.725","0","85008.239","0.118","0.001","152.092","0","78416.576"
"156","clarkduke","Pinus.sp","2","0.045","0.001","32.189","0","9413.692","0.05","0.001","44.548","0","9010.691"
"157","clarkduke","Pinus.sp","4","0.042","0.002","25.762","0","9624.069","0.056","0.001","42.319","0","9081.785"
"158","clarkduke","Pinus.sp","6","0.052","0.002","26.856","0","9588.786","0.063","0.002","40.076","0","9154.225"
"159","clarkduke","Pinus.sp","8","0.068","0.003","27.091","0","9581.166","0.081","0.002","42.45","0","9077.559"
"160","clarkduke","Pinus.sp","10","0.086","0.004","20.014","0","9801.664","0.096","0.003","30.698","0","9462.963"
"161","clarkduke","Pinus.virginiana","2","0.049","0.004","12.51","0","465.73","0.049","0.004","13.959","0","456.871"
"162","clarkduke","Pinus.virginiana","4","0.054","0.005","11.844","0","469.985","0.054","0.004","13.57","0","459.198"
"163","clarkduke","Pinus.virginiana","6","0.062","0.005","11.591","0","471.635","0.062","0.005","13.623","0","458.878"
"164","clarkduke","Pinus.virginiana","8","0.078","0.007","11.491","0","472.286","0.075","0.006","13.223","0","461.309"
"165","clarkduke","Pinus.virginiana","10","0.1","0.011","8.993","0","489.446","0.092","0.008","11.156","0","474.503"
"166","clarkduke","Quercus.rubra","2","0.043","0.001","31.773","0","6914.547","0.049","0.001","45.016","0","6542.334"
"167","clarkduke","Quercus.rubra","4","0.04","0.002","25.938","0","7084.971","0.054","0.001","41.897","0","6626.805"
"168","clarkduke","Quercus.rubra","6","0.05","0.002","27.677","0","7034.283","0.059","0.002","38.957","0","6708.451"
"169","clarkduke","Quercus.rubra","8","0.066","0.002","27.805","0","7030.535","0.075","0.002","40.837","0","6656.016"
"170","clarkduke","Quercus.rubra","10","0.079","0.004","17.679","0","7315.124","0.093","0.003","32.127","0","6904.244"
"171","clarkduke","Pinus.palustris","2","0.056","0.001","45.626","0","4566.485","0.059","0.001","58.342","0","4349.609"
"172","clarkduke","Pinus.palustris","4","0.06","0.002","37.735","0","4720.18","0.065","0.001","52.225","0","4449.49"
"173","clarkduke","Pinus.palustris","6","0.071","0.002","37.271","0","4729.7","0.074","0.002","47.741","0","4527.883"
"174","clarkduke","Pinus.palustris","8","0.087","0.003","33.963","0","4799.117","0.086","0.002","41.1","0","4652.742"
"175","clarkduke","Pinus.palustris","10","0.101","0.004","23.902","0","5024.108","0.105","0.003","31.702","0","4848.048"
"176","clarkduke","Pinus.strobus","2","0.056","0.002","34.833","0","2888.406","0.056","0.001","43.855","0","2755.097"
"177","clarkduke","Pinus.strobus","4","0.057","0.002","28.569","0","2992.641","0.062","0.002","39.898","0","2811.218"
"178","clarkduke","Pinus.strobus","6","0.067","0.002","27.701","0","3007.858","0.072","0.002","37.111","0","2852.921"
"179","clarkduke","Pinus.strobus","8","0.086","0.003","25.473","0","3047.678","0.086","0.002","34.412","0","2895.108"
"180","clarkduke","Pinus.strobus","10","0.095","0.007","14.18","0","3258.564","0.112","0.004","27.52","0","3011.052"
"181","clarkduke","Nyssa.sylvatica","2","0.045","0.001","62.367","0","12916.198","0.046","0.001","75.232","0","12472.605"
"182","clarkduke","Nyssa.sylvatica","4","0.044","0.001","48.839","0","13425.027","0.049","0.001","69.364","0","12669.813"
"183","clarkduke","Nyssa.sylvatica","6","0.053","0.001","51.787","0","13310.894","0.056","0.001","65.681","0","12797.963"
"184","clarkduke","Nyssa.sylvatica","8","0.067","0.001","48.202","0","13449.885","0.07","0.001","65.485","0","12804.884"
"185","clarkduke","Nyssa.sylvatica","10","0.086","0.003","31.506","0","14109.448","0.092","0.002","52.835","0","13270.696"
"186","clarkduke","Quercus.velutina","2","0.067","0.006","10.754","0","398.82","0.061","0.004","15.05","0","371.797"
"187","clarkduke","Quercus.velutina","4","0.074","0.007","10.003","0","404.029","0.067","0.005","13.834","0","378.971"
"188","clarkduke","Quercus.velutina","6","0.094","0.008","11.964","0","390.728","0.076","0.006","12.238","0","388.954"
"189","clarkduke","Quercus.velutina","8","0.14","0.013","10.652","0","399.522","0.097","0.007","13.142","0","383.213"
"190","clarkduke","Quercus.velutina","10","0.615","0.215","2.86","0.006","453.694","0.169","0.011","14.884","0","372.755"
"191","clarkduke","Liriodendron.tulipifera","2","0.049","0.001","66.201","0","15156.37","0.049","0.001","77.571","0","14732.948"
"192","clarkduke","Liriodendron.tulipifera","4","0.052","0.001","58.176","0","15474.146","0.054","0.001","74.595","0","14840.647"
"193","clarkduke","Liriodendron.tulipifera","6","0.062","0.001","63.461","0","15263.187","0.061","0.001","72.045","0","14934.723"
"194","clarkduke","Liriodendron.tulipifera","8","0.074","0.001","56.818","0","15529.344","0.072","0.001","67.856","0","15092.762"
"195","clarkduke","Liriodendron.tulipifera","10","0.089","0.002","39.544","0","16254.685","0.088","0.002","54.623","0","15619.343"
"196","clarkduke","Quercus.alba","2","0.038","0.001","75.979","0","66585.85","0.044","0","100.029","0","64484.503"
"197","clarkduke","Quercus.alba","4","0.039","0.001","69.45","0","67148.104","0.05","0","103.339","0","64197.605"
"198","clarkduke","Quercus.alba","6","0.054","0.001","83.347","0","65943.205","0.059","0.001","109.798","0","63642.23"
"199","clarkduke","Quercus.alba","8","0.076","0.001","87.843","0","65549.37","0.076","0.001","114.514","0","63241.18"
"200","clarkduke","Quercus.alba","10","0.102","0.002","58.322","0","68075.339","0.101","0.001","99.038","0","64570.652"
"201","clarkduke","Liquidambar.styraciflua","2","0.052","0.001","50.633","0","5983.544","0.051","0.001","59.093","0","5801.193"
"202","clarkduke","Liquidambar.styraciflua","4","0.054","0.001","42.468","0","6176.196","0.056","0.001","55.125","0","5884.586"
"203","clarkduke","Liquidambar.styraciflua","6","0.064","0.001","44.938","0","6116.171","0.064","0.001","52.888","0","5933.264"
"204","clarkduke","Liquidambar.styraciflua","8","0.081","0.002","42.81","0","6167.798","0.078","0.002","51.76","0","5958.251"
"205","clarkduke","Liquidambar.styraciflua","10","0.102","0.004","27.932","0","6555.89","0.099","0.002","41.849","0","6191.493"
