"","site","species","tbase","sens_gddsoil","se_soil","t_soil","p_soil","aic_gddsoil","sens_gddair","se_air","t_air","p_air","aic_gddair"
"206","clarkduke","Quercus.sp","2","0.05","0.006","8.008","0","163.57","0.051","0.005","11.018","0","153.421"
"207","clarkduke","Quercus.sp","4","0.051","0.008","6.61","0","169.085","0.056","0.005","10.368","0","155.434"
"208","clarkduke","Quercus.sp","6","0.058","0.009","6.244","0","170.616","0.062","0.006","9.703","0","157.59"
"209","clarkduke","Quercus.sp","8","0.069","0.01","6.587","0","169.178","0.069","0.008","9.143","0","159.484"
"210","clarkduke","Quercus.sp","10","0.081","0.017","4.901","0","176.529","0.082","0.011","7.192","0","166.723"
"211","clarkduke","Acer.saccharum","2","0.054","0.001","40.145","0","4599.552","0.053","0.001","45.856","0","4481.569"
"212","clarkduke","Acer.saccharum","4","0.059","0.002","34.878","0","4715.539","0.059","0.001","42.858","0","4542.477"
"213","clarkduke","Acer.saccharum","6","0.072","0.002","35.658","0","4697.942","0.071","0.002","41.711","0","4566.397"
"214","clarkduke","Acer.saccharum","8","0.097","0.004","25.937","0","4925.809","0.092","0.002","38.307","0","4639.273"
"215","clarkduke","Acer.saccharum","10","0.133","0.011","12.067","0","5244.021","0.14","0.005","30.304","0","4821.391"
"216","clarkduke","Cornus.florida","2","0.066","0.004","17.033","0","519.169","0.059","0.003","21.057","0","496.044"
"217","clarkduke","Cornus.florida","4","0.075","0.004","18.92","0","507.895","0.067","0.003","22.441","0","488.841"
"218","clarkduke","Cornus.florida","6","0.088","0.004","20.641","0","498.275","0.077","0.003","22.851","0","486.771"
"219","clarkduke","Cornus.florida","8","0.111","0.006","17.339","0","517.285","0.095","0.004","23.528","0","483.422"
"220","clarkduke","Cornus.florida","10","0.143","0.015","9.568","0","572.289","0.123","0.006","19.305","0","505.69"
"221","clarkduke","Acer.barbatum","2","0.054","0.001","53.778","0","9630.402","0.055","0.001","67.994","0","9215.949"
"222","clarkduke","Acer.barbatum","4","0.055","0.001","42.551","0","9991.983","0.061","0.001","62.302","0","9375.865"
"223","clarkduke","Acer.barbatum","6","0.069","0.002","44.76","0","9918.719","0.072","0.001","60.315","0","9433.572"
"224","clarkduke","Acer.barbatum","8","0.099","0.002","43.621","0","9956.396","0.094","0.002","60.742","0","9421.098"
"225","clarkduke","Acer.barbatum","10","0.143","0.006","24.204","0","10610.653","0.133","0.003","44.897","0","9914.213"
"226","clarkduke","Fraxinus.americana","2","0.047","0.001","65.897","0","12438.852","0.047","0.001","78.858","0","12017.951"
"227","clarkduke","Fraxinus.americana","4","0.048","0.001","56.206","0","12780.689","0.051","0.001","74.383","0","12158.61"
"228","clarkduke","Fraxinus.americana","6","0.056","0.001","59.285","0","12669.603","0.058","0.001","72.909","0","12205.981"
"229","clarkduke","Fraxinus.americana","8","0.069","0.001","56.623","0","12765.532","0.07","0.001","72.861","0","12207.539"
"230","clarkduke","Fraxinus.americana","10","0.09","0.002","41.613","0","13332.845","0.087","0.002","57.846","0","12721.261"
"231","clarkduke","Quercus.phellos","2","0.051","0.002","21.935","0","1748.661","0.053","0.002","29.733","0","1650.597"
"232","clarkduke","Quercus.phellos","4","0.049","0.003","17.402","0","1812.296","0.057","0.002","27.601","0","1675.897"
"233","clarkduke","Quercus.phellos","6","0.057","0.003","18.228","0","1800.405","0.065","0.003","25.862","0","1697.373"
"234","clarkduke","Quercus.phellos","8","0.078","0.004","18.331","0","1798.932","0.08","0.003","26.543","0","1688.871"
"235","clarkduke","Quercus.phellos","10","0.086","0.008","11","0","1905.534","0.099","0.005","19.541","0","1781.748"
"236","clarkduke","Magnolia.grandiflora","2","0.046","0.001","40.996","0","7690.571","0.048","0.001","50.804","0","7418.749"
"237","clarkduke","Magnolia.grandiflora","4","0.044","0.001","31.821","0","7962.408","0.052","0.001","46.473","0","7535.93"
"238","clarkduke","Magnolia.grandiflora","6","0.051","0.002","32.616","0","7938.42","0.059","0.001","44.047","0","7603.577"
"239","clarkduke","Magnolia.grandiflora","8","0.066","0.002","33.439","0","7913.652","0.072","0.002","45.594","0","7560.276"
"240","clarkduke","Magnolia.grandiflora","10","0.077","0.004","21.838","0","8260.101","0.09","0.003","35.201","0","7860.86"
"241","clarkduke","Oxydendrum.arboreum","2","0.054","0.003","20.487","0","1017.306","0.054","0.003","20.28","0","1019.297"
"242","clarkduke","Oxydendrum.arboreum","4","0.055","0.004","15.593","0","1067.345","0.06","0.003","17.941","0","1042.6"
"243","clarkduke","Oxydendrum.arboreum","6","0.066","0.004","16.497","0","1057.66","0.071","0.004","18.202","0","1039.93"
"244","clarkduke","Oxydendrum.arboreum","8","0.08","0.006","13.967","0","1085.203","0.088","0.006","14.946","0","1074.387"
"245","clarkduke","Oxydendrum.arboreum","10","0.127","0.013","10.106","0","1128.944","0.128","0.01","13.133","0","1094.543"
"246","clarkduke","Diospyros.virginiana","2","0.027","0.007","3.578","0.003","144.648","0.035","0.007","5.376","0","136.879"
"247","clarkduke","Diospyros.virginiana","4","0.025","0.008","3.09","0.007","146.762","0.037","0.007","5.023","0","138.366"
"248","clarkduke","Diospyros.virginiana","6","0.029","0.009","3.184","0.006","146.361","0.041","0.008","4.956","0","138.648"
"249","clarkduke","Diospyros.virginiana","8","0.041","0.011","3.639","0.002","144.381","0.051","0.01","5.198","0","137.626"
"250","clarkduke","Diospyros.virginiana","10","0.044","0.015","2.977","0.009","147.246","0.058","0.015","3.96","0.001","142.97"
"251","clarkduke","Juniperus.virginiana","2","0.039","0.004","8.865","0","532.972","0.042","0.004","10.295","0","521.571"
"252","clarkduke","Juniperus.virginiana","4","0.033","0.005","6.373","0","553.12","0.044","0.005","9.116","0","530.944"
"253","clarkduke","Juniperus.virginiana","6","0.039","0.006","6.21","0","554.412","0.051","0.006","8.682","0","534.447"
"254","clarkduke","Juniperus.virginiana","8","0.053","0.009","6.044","0","555.719","0.066","0.008","8.664","0","534.594"
"255","clarkduke","Juniperus.virginiana","10","0.057","0.013","4.291","0","568.72","0.079","0.012","6.812","0","549.609"
"256","clarkduke","Betula.alleghaniensis","2","0.072","0.001","60.117","0","769.12","0.061","0.001","73.709","0","712.631"
"257","clarkduke","Betula.alleghaniensis","4","0.082","0.001","56.715","0","785.117","0.068","0.001","69.647","0","728.409"
"258","clarkduke","Betula.alleghaniensis","6","0.097","0.002","63.589","0","753.632","0.078","0.001","62.401","0","758.839"
"259","clarkduke","Betula.alleghaniensis","8","0.141","0.003","53.374","0","801.706","0.097","0.001","68.449","0","733.228"
"260","clarkduke","Betula.alleghaniensis","10","0.207","0.046","4.453","0","1219.645","0.161","0.003","58.758","0","775.407"
"261","clarkduke","Acer.sp","2","0.037","0.009","4.29","0.023","40.094","0.042","0.009","4.442","0.021","39.793"
"262","clarkduke","Acer.sp","4","0.037","0.01","3.642","0.036","41.466","0.046","0.011","4.203","0.025","40.269"
"263","clarkduke","Acer.sp","6","0.047","0.012","4.092","0.026","40.498","0.057","0.014","3.99","0.028","40.71"
"264","clarkduke","Acer.sp","8","0.074","0.015","5.092","0.015","38.588","0.07","0.015","4.761","0.018","39.185"
"265","clarkduke","Acer.sp","10","0.089","0.034","2.629","0.078","43.943","0.111","0.019","5.764","0.01","37.463"
"266","clarkduke","Carya.ovata","2","0.064","0.007","8.883","0","307.223","0.061","0.004","14.939","0","276.315"
"267","clarkduke","Carya.ovata","4","0.063","0.008","7.745","0","314.059","0.067","0.005","14.129","0","279.932"
"268","clarkduke","Carya.ovata","6","0.081","0.009","8.771","0","307.883","0.075","0.006","12.382","0","288.249"
"269","clarkduke","Carya.ovata","8","0.107","0.014","7.427","0","316.018","0.094","0.007","13.331","0","283.646"
"270","clarkduke","Carya.ovata","10","0.185","0.041","4.472","0","334.537","0.121","0.011","10.596","0","297.534"
"271","clarkduke","Quercus.falcata","2","0.061","0.003","18.755","0","814.917","0.057","0.002","24.968","0","766.51"
"272","clarkduke","Quercus.falcata","4","0.064","0.004","17.013","0","830.169","0.063","0.003","24.472","0","770.055"
"273","clarkduke","Quercus.falcata","6","0.076","0.004","19.728","0","806.73","0.069","0.003","23.145","0","779.797"
"274","clarkduke","Quercus.falcata","8","0.095","0.005","18.654","0","815.78","0.085","0.003","24.868","0","767.215"
"275","clarkduke","Quercus.falcata","10","0.117","0.011","10.486","0","893.579","0.107","0.005","20.203","0","802.826"
"276","clarkduke","Quercus.nigra","2","0.055","0.002","24.974","0","1177.888","0.053","0.002","32.67","0","1110.53"
"277","clarkduke","Quercus.nigra","4","0.056","0.003","20.443","0","1223.933","0.058","0.002","30.656","0","1126.972"
"278","clarkduke","Quercus.nigra","6","0.065","0.003","21.118","0","1216.744","0.065","0.002","28.54","0","1145.114"
"279","clarkduke","Quercus.nigra","8","0.083","0.004","19.525","0","1233.892","0.076","0.003","26.662","0","1162.013"
"280","clarkduke","Quercus.nigra","10","0.096","0.008","11.632","0","1326.869","0.091","0.005","19.146","0","1238.06"
"281","clarkduke","Ilex.opaca","2","0.074","0.027","2.767","0.221","25.801","0.082","0.047","1.745","0.331","28.084"
"282","clarkduke","Ilex.opaca","4","0.085","0.038","2.244","0.267","26.883","0.091","0.065","1.384","0.398","29.065"
"283","clarkduke","Ilex.opaca","6","0.091","0.077","1.189","0.445","29.633","0.092","0.1","0.915","0.528","30.449"
"284","clarkduke","Ilex.opaca","8","0.11","0.083","1.32","0.413","29.25","0.154","0.127","1.207","0.44","29.579"
"285","clarkduke","Ilex.opaca","10","0.339","0.226","1.503","0.374","28.73","0.279","0.293","0.953","0.515","30.337"
"286","clarkduke","Ulmus.sp","2","0.038","0.012","3.08","0.015","89.566","0.047","0.007","6.33","0","79.454"
"287","clarkduke","Ulmus.sp","4","0.039","0.014","2.795","0.023","90.574","0.051","0.008","6.328","0","79.461"
"288","clarkduke","Ulmus.sp","6","0.047","0.015","3.066","0.015","89.617","0.058","0.009","6.525","0","78.945"
"289","clarkduke","Ulmus.sp","8","0.063","0.019","3.392","0.009","88.475","0.068","0.01","7.058","0","77.608"
"290","clarkduke","Ulmus.sp","10","0.103","0.029","3.569","0.007","87.863","0.081","0.016","5.097","0.001","82.923"
"291","clarkduke","Carya.glabra","2","0.057","0.004","15.64","0","303.689","0.052","0.003","18.55","0","292.158"
"292","clarkduke","Carya.glabra","4","0.06","0.004","14.179","0","310.102","0.057","0.003","17.86","0","294.756"
"293","clarkduke","Carya.glabra","6","0.068","0.005","14.994","0","306.468","0.062","0.004","16.416","0","300.462"
"294","clarkduke","Carya.glabra","8","0.079","0.006","12.139","0","319.863","0.073","0.005","16","0","302.179"
"295","clarkduke","Carya.glabra","10","0.092","0.012","7.738","0","344.499","0.087","0.007","12.631","0","317.413"
"296","clarkduke","Quercus.stellata","2","0.045","0.008","5.421","0","283.063","0.049","0.008","6.323","0","277.81"
"297","clarkduke","Quercus.stellata","4","0.05","0.009","5.447","0","282.912","0.056","0.008","6.973","0","274.084"
"298","clarkduke","Quercus.stellata","6","0.064","0.009","7.303","0","272.221","0.061","0.008","7.375","0","271.819"
"299","clarkduke","Quercus.stellata","8","0.078","0.01","7.972","0","268.524","0.075","0.009","8.577","0","265.269"
"300","clarkduke","Quercus.stellata","10","0.098","0.016","5.968","0","279.871","0.093","0.013","7.381","0","271.786"
"301","clarkduke","Carya.sp","2","0.054","0.019","2.784","0.024","94.634","0.06","0.006","10.638","0","74.229"
"302","clarkduke","Carya.sp","4","0.057","0.022","2.565","0.033","95.407","0.067","0.006","10.884","0","73.801"
"303","clarkduke","Carya.sp","6","0.075","0.024","3.171","0.013","93.267","0.075","0.006","12.077","0","71.841"
"304","clarkduke","Carya.sp","8","0.109","0.029","3.808","0.005","91.065","0.091","0.009","10.494","0","74.483"
"305","clarkduke","Carya.sp","10","0.244","0.039","6.317","0","83.51","0.112","0.012","9.67","0","76"
"306","clarkduke","Ilex.vomitoria","2","0.061","0.003","23.075","0","295.011","0.058","0.002","27.146","0","280.768"
"307","clarkduke","Ilex.vomitoria","4","0.064","0.004","16.933","0","321.065","0.064","0.003","23.626","0","292.965"
"308","clarkduke","Ilex.vomitoria","6","0.084","0.004","21.343","0","301.731","0.075","0.003","23.016","0","295.233"
"309","clarkduke","Ilex.vomitoria","8","0.115","0.007","17.427","0","318.719","0.094","0.004","23.983","0","291.659"
"310","clarkduke","Ilex.vomitoria","10","0.201","0.054","3.722","0.001","402.343","0.142","0.009","15.615","0","327.576"
"311","clarkduke","Quercus.coccinea","2","0.057","0.017","3.42","0.019","56.08","0.049","0.016","2.972","0.031","57.399"
"312","clarkduke","Quercus.coccinea","4","0.06","0.021","2.932","0.033","57.518","0.048","0.019","2.556","0.051","58.67"
"313","clarkduke","Quercus.coccinea","6","0.052","0.023","2.213","0.078","59.742","0.045","0.023","2.002","0.102","60.399"
"314","clarkduke","Quercus.coccinea","8","0.063","0.028","2.216","0.077","59.731","0.065","0.025","2.564","0.05","58.645"
"315","clarkduke","Quercus.coccinea","10","0.121","0.074","1.628","0.164","61.542","0.084","0.044","1.881","0.119","60.774"
"316","clarkduke","Pinus.echinata","2","0.056","0.003","16.784","0","387.425","0.058","0.003","17.437","0","384.375"
"317","clarkduke","Pinus.echinata","4","0.062","0.004","14.224","0","400.275","0.064","0.004","15.211","0","395.149"
"318","clarkduke","Pinus.echinata","6","0.071","0.006","12.791","0","408.143","0.076","0.005","14.246","0","400.159"
"319","clarkduke","Pinus.echinata","8","0.086","0.008","10.713","0","420.48","0.091","0.008","11.971","0","412.875"
"320","clarkduke","Pinus.echinata","10","0.119","0.015","8.045","0","437.897","0.128","0.013","9.67","0","427.09"
"321","clarkduke","Pinus.resinosa","2","0.041","0.003","12.675","0","58.675","0.042","0.003","16.005","0","55.051"
"322","clarkduke","Pinus.resinosa","4","0.044","0.004","11.475","0","60.203","0.046","0.003","15.186","0","55.871"
"323","clarkduke","Pinus.resinosa","6","0.051","0.005","11.191","0","60.587","0.055","0.004","13.981","0","57.157"
"324","clarkduke","Pinus.resinosa","8","0.06","0.008","7.924","0","65.754","0.067","0.006","10.898","0","60.991"
"325","clarkduke","Pinus.resinosa","10","0.092","0.015","6.199","0.001","69.252","0.099","0.014","7.304","0","66.935"
"326","clarkduke","Magnolia.virginiana","2","0.073","0","501.378","0","13.983","0.061","0","124.334","0","183.88"
"327","clarkduke","Magnolia.virginiana","4","0.084","0","766.246","0","-37.754","0.068","0","147.145","0","163.396"
"328","clarkduke","Magnolia.virginiana","6","0.099","0","668.262","0","-21.064","0.078","0","202.618","0","124.446"
"329","clarkduke","Magnolia.virginiana","8","0.15","0.001","151.784","0","159.619","0.098","0","371.085","0","50.684"
"330","clarkduke","Magnolia.virginiana","10",NA,NA,NA,NA,"521.785","0.173","0","615.49","0","-11.029"
"331","clarkduke","Carya.tomentosa","2","0.066","0.017","3.934","0.003","89.865","0.061","0.015","4.158","0.002","89.081"
"332","clarkduke","Carya.tomentosa","4","0.069","0.025","2.816","0.02","93.922","0.069","0.018","3.746","0.005","90.536"
"333","clarkduke","Carya.tomentosa","6","0.096","0.029","3.271","0.01","92.257","0.08","0.023","3.452","0.007","91.597"
"334","clarkduke","Carya.tomentosa","8","0.111","0.087","1.273","0.235","99.052","0.109","0.038","2.884","0.018","93.675"
"335","clarkduke","Carya.tomentosa","10",NA,NA,NA,NA,"98.873","0.204","0.074","2.752","0.022","94.156"
"336","clarkduke","Quercus.laurifolia","2","0.073","0","4796923754548618","0","-2396.865","0.061","0","3121438495897223","0","-2362.49"
"337","clarkduke","Quercus.laurifolia","4","0.084","0","13734483184412346","0","-2481.019","0.069","0","2382274098082841","0","-2340.871"
"338","clarkduke","Quercus.laurifolia","6","0.099","0","2020165320185495","0","-2327.681","0.078","0","3140842934525878","0","-2362.986"
"339","clarkduke","Quercus.laurifolia","8","0.15","0","2572154163724782","0","-2347.006","0.098","0","9422528803577640","0","-2450.875"
"340","clarkduke","Quercus.laurifolia","10",NA,NA,NA,NA,"344.172","0.173","0","6465742223257658","0","-2420.748"
"341","clarkduke","Ulmus.americana","2","0.073","0","4796923754548618","0","-2396.865","0.061","0","3121438495897223","0","-2362.49"
"342","clarkduke","Ulmus.americana","4","0.084","0","13734483184412346","0","-2481.019","0.069","0","2382274098082841","0","-2340.871"
"343","clarkduke","Ulmus.americana","6","0.099","0","2020165320185495","0","-2327.681","0.078","0","3140842934525878","0","-2362.986"
"344","clarkduke","Ulmus.americana","8","0.15","0","2572154163724782","0","-2347.006","0.098","0","9422528803577640","0","-2450.875"
"345","clarkduke","Ulmus.americana","10",NA,NA,NA,NA,"344.172","0.173","0","6465742223257658","0","-2420.748"
"346","clarkharvard","Acer.rubrum","2","0.057","0.001","107.62","0","33887.495","0.06","0","188.175","0","30265.666"
"347","clarkharvard","Acer.rubrum","4","0.071","0.001","127.858","0","32844.11","0.067","0","176.291","0","30719.303"
"348","clarkharvard","Acer.rubrum","6","0.083","0.001","111.501","0","33679.564","0.079","0","168.765","0","31019.081"
"349","clarkharvard","Acer.rubrum","8","0.106","0.001","84.571","0","35198.373","0.096","0.001","136.249","0","32440.348"
"350","clarkharvard","Acer.rubrum","10","0.129","0.003","45.073","0","37621.06","0.131","0.001","97.179","0","34465.52"
"351","clarkharvard","Acer.saccharum","2","0.058","0.002","23.75","0","1469.757","0.06","0.002","36.477","0","1346.186"
"352","clarkharvard","Acer.saccharum","4","0.072","0.002","28.927","0","1415.166","0.067","0.002","33.825","0","1369.114"
"353","clarkharvard","Acer.saccharum","6","0.085","0.003","24.787","0","1458.298","0.079","0.002","32.333","0","1382.614"
"354","clarkharvard","Acer.saccharum","8","0.112","0.006","19.859","0","1515.159","0.097","0.004","26.51","0","1439.854"
"355","clarkharvard","Acer.saccharum","10","0.141","0.014","9.998","0","1642.413","0.127","0.007","18.758","0","1528.686"
"356","clarkharvard","Liquidambar.styraciflua","2","0.051","0.002","22.406","0","1237.099","0.052","0.002","34.273","0","1134.723"
"357","clarkharvard","Liquidambar.styraciflua","4","0.061","0.002","27.608","0","1188.508","0.058","0.002","32.693","0","1146.718"
"358","clarkharvard","Liquidambar.styraciflua","6","0.07","0.003","25.364","0","1208.691","0.066","0.002","32.581","0","1147.58"
"359","clarkharvard","Liquidambar.styraciflua","8","0.085","0.004","21.283","0","1248.452","0.079","0.003","28.555","0","1180.332"
"360","clarkharvard","Liquidambar.styraciflua","10","0.112","0.008","14.939","0","1318.397","0.101","0.004","23.2","0","1229.263"
"361","clarkharvard","Liriodendron.tulipifera","2","0.053","0.002","34.95","0","3113.275","0.054","0.001","57.093","0","2819.852"
"362","clarkharvard","Liriodendron.tulipifera","4","0.063","0.001","42.629","0","2999.868","0.06","0.001","53.962","0","2855.599"
"363","clarkharvard","Liriodendron.tulipifera","6","0.072","0.002","38.158","0","3064.188","0.07","0.001","53.169","0","2864.909"
"364","clarkharvard","Liriodendron.tulipifera","8","0.086","0.003","30.301","0","3188.918","0.083","0.002","44.92","0","2968.642"
"365","clarkharvard","Liriodendron.tulipifera","10","0.102","0.005","18.64","0","3399.758","0.105","0.003","32.136","0","3158.412"
"366","clarkharvard","Fagus.grandifolia","2","0.049","0.003","17.401","0","358.535","0.05","0.002","22.63","0","336.812"
"367","clarkharvard","Fagus.grandifolia","4","0.059","0.003","23.038","0","335.297","0.055","0.002","22.111","0","338.772"
"368","clarkharvard","Fagus.grandifolia","6","0.068","0.003","21.877","0","339.672","0.063","0.003","24.173","0","331.195"
"369","clarkharvard","Fagus.grandifolia","8","0.079","0.005","16.591","0","362.341","0.076","0.003","22.671","0","336.66"
"370","clarkharvard","Fagus.grandifolia","10","0.104","0.01","10.877","0","393.462","0.097","0.006","17.287","0","359.062"
"371","clarkharvard","Betula.sp","2","0.049","0.001","49.062","0","6363.492","0.052","0.001","77.292","0","5819.062"
"372","clarkharvard","Betula.sp","4","0.06","0.001","59.694","0","6138.344","0.057","0.001","71.652","0","5914.94"
"373","clarkharvard","Betula.sp","6","0.068","0.001","53.781","0","6260.235","0.066","0.001","69.807","0","5947.544"
"374","clarkharvard","Betula.sp","8","0.08","0.002","42.923","0","6506.096","0.078","0.001","59.817","0","6135.895"
"375","clarkharvard","Betula.sp","10","0.095","0.003","27.972","0","6888.837","0.095","0.002","43.326","0","6496.445"
"376","clarkharvard","Pinus.strobus","2","0.049","0.001","53.99","0","11551.425","0.053","0.001","102.349","0","10201.379"
"377","clarkharvard","Pinus.strobus","4","0.06","0.001","63.861","0","11231.436","0.059","0.001","97.434","0","10315.894"
"378","clarkharvard","Pinus.strobus","6","0.068","0.001","58.215","0","11411.507","0.067","0.001","95.653","0","10358.486"
"379","clarkharvard","Pinus.strobus","8","0.08","0.002","46.965","0","11793.116","0.079","0.001","76.229","0","10864.55"
"380","clarkharvard","Pinus.strobus","10","0.086","0.004","23.411","0","12631.298","0.1","0.002","53.301","0","11574.627"
"381","clarkharvard","Pinus.resinosa","2","0.05","0.002","32.686","0","2906.684","0.051","0.001","59.831","0","2561.842"
"382","clarkharvard","Pinus.resinosa","4","0.06","0.001","40.959","0","2785.469","0.057","0.001","57.507","0","2586.109"
"383","clarkharvard","Pinus.resinosa","6","0.068","0.002","37.589","0","2832.871","0.065","0.001","59.105","0","2569.337"
"384","clarkharvard","Pinus.resinosa","8","0.08","0.003","31.737","0","2921.667","0.076","0.001","51.119","0","2657.142"
"385","clarkharvard","Pinus.resinosa","10","0.096","0.005","18.239","0","3156.549","0.098","0.002","39.694","0","2802.944"
"386","clarkharvard","Quercus.alba","2","0.051","0.001","41.819","0","5478.461","0.055","0.001","63.265","0","5053.509"
"387","clarkharvard","Quercus.alba","4","0.062","0.001","52.097","0","5261.368","0.061","0.001","60.103","0","5109.623"
"388","clarkharvard","Quercus.alba","6","0.071","0.001","49.238","0","5319.16","0.07","0.001","60.699","0","5098.886"
"389","clarkharvard","Quercus.alba","8","0.086","0.002","40.834","0","5500.666","0.084","0.002","52.809","0","5247.286"
"390","clarkharvard","Quercus.alba","10","0.111","0.004","28.782","0","5789.929","0.106","0.003","40.789","0","5501.674"
"391","clarkharvard","Betula.lenta","2","0.048","0.001","42.655","0","4331.706","0.053","0.001","65.354","0","3973.303"
"392","clarkharvard","Betula.lenta","4","0.059","0.001","53.744","0","4143.309","0.058","0.001","61.28","0","4030.139"
"393","clarkharvard","Betula.lenta","6","0.067","0.001","51.344","0","4181.739","0.066","0.001","62.594","0","4011.497"
"394","clarkharvard","Betula.lenta","8","0.081","0.002","43.8","0","4310.928","0.079","0.001","55.075","0","4122.507"
"395","clarkharvard","Betula.lenta","10","0.104","0.003","30.201","0","4578.674","0.096","0.002","41.044","0","4361.493"
"396","clarkharvard","Quercus.rubra","2","0.052","0.001","39.352","0","5510.285","0.056","0.001","66.802","0","4960.761"
"397","clarkharvard","Quercus.rubra","4","0.065","0.001","49.464","0","5287.231","0.062","0.001","64.304","0","5003.856"
"398","clarkharvard","Quercus.rubra","6","0.076","0.002","46.929","0","5340.744","0.073","0.001","65.455","0","4983.85"
"399","clarkharvard","Quercus.rubra","8","0.095","0.003","37.574","0","5552.116","0.088","0.002","53.682","0","5201.617"
"400","clarkharvard","Quercus.rubra","10","0.119","0.006","20.711","0","5973.995","0.114","0.003","39.164","0","5514.683"
"401","clarkharvard","Pinus.taeda","2","0.05","0.003","15.704","0","752.437","0.052","0.002","28.269","0","668.766"
"402","clarkharvard","Pinus.taeda","4","0.06","0.003","19.648","0","722.452","0.058","0.002","27.379","0","673.677"
"403","clarkharvard","Pinus.taeda","6","0.068","0.004","18.395","0","731.564","0.066","0.002","27.054","0","675.498"
"404","clarkharvard","Pinus.taeda","8","0.08","0.005","15.429","0","754.676","0.077","0.004","22.033","0","706.116"
"405","clarkharvard","Pinus.taeda","10","0.097","0.01","9.655","0","805.664","0.097","0.006","15.482","0","754.243"
"406","clarkharvard","Pinus.palustris","2","0.056","0.007","8.1","0","174.014","0.053","0.004","12.833","0","158.382"
"407","clarkharvard","Pinus.palustris","4","0.061","0.008","8.023","0","174.315","0.058","0.005","12.418","0","159.564"
"408","clarkharvard","Pinus.palustris","6","0.069","0.009","7.443","0","176.622","0.066","0.005","12.14","0","160.374"
"409","clarkharvard","Pinus.palustris","8","0.078","0.014","5.697","0","184.118","0.075","0.008","8.95","0","170.818"
